Reference,Superstructure type,Intesnity Measure,Number of spans,Joint type,Soil type,Column type,Skewness,Horizontal curve,Abutment stiffness,"Seismic design (SD, NSD)",States,Retrofitted,"Fault (Near Fault, Far Field,Both,reverse,Strike-Slip)",Time Dependent(years),Environmental Condition,Description,Units,Number of Damage States,Slight DS(median),Slight DS(Dispersion),Moderate DS(median),Moderate DS(Dispersion),Extensive DS(median),Extensive DS(dipersion),Complete DS(median),Complete DS(Dispersion)
"Dukes (2013),BG,MSC_MC,SD,Type_D,MC method",Box Girder,Sa(1.0),Two,Continuous,Type_D,Multiple columns,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Dukes, J. D. (2013). “Application of Bridge Specific Fragility Analysis in the Seismic Design Process of Bridges in California.” PhD dissertation, Georgia Institute of Technology, Atlanta, GA. * Methodology: Monte Carlo Simulations",g,4,0.08,0.44,0.3,0.44,0.59,0.44,0.82,0.44
"Dukes (2013),BG,MSC_MC,SD,Type_D,BSF method",Box Girder,Sa(1.0),Two,Continuous,Type_D,Multiple columns,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Dukes, J. D. (2013). “Application of Bridge Specific Fragility Analysis in the Seismic Design Process of Bridges in California.” PhD dissertation, Georgia Institute of Technology, Atlanta, GA. * Methodology: Bridge Specific Fragility Methodology",g,4,0.08,0.59,0.32,0.59,0.65,0.59,0.93,0.59
"Dusicka and Roberts (2011),C,3MSC_MC,NSD",Concrete,PGA,Three,Continuous,unknown,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Unknown,No,No,"Ref: Dusicka, P., Roberts, J. (2011). Bridge Damage Models for Seismic Risk Assessment of Oregon Highway Network, OTREC-RR-11-08, Portland, OR.",g,4,0.06,0.64,0.07,0.68,0.11,0.73,0.33,0.78
"Dusicka and Roberts (2011),C,3MSC_MC,NSD,POE 10 in 50",Concrete,PGA,Three,Continuous,unknown,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Unknown,No,No,"Ref: Dusicka, P., Roberts, J. (2011). Bridge Damage Models for Seismic Risk Assessment of Oregon Highway Network, OTREC-RR-11-08, Portland, OR. * Ground motions suite with 10% probability of exceedance in 50 years.",g,4,0.02,0.9,0.03,0.98,0.06,1.07,0.39,1.17
"Dusicka and Roberts (2011),C,3MSC_MC,NSD,Longitudinal",Concrete,PGA,Three,Continuous,unknown,Multiple columns,No,No,Longitudinal,Nonseismically design,nonCalifornia,No,Unknown,No,No,"Ref: Dusicka, P., Roberts, J. (2011). Bridge Damage Models for Seismic Risk Assessment of Oregon Highway Network, OTREC-RR-11-08, Portland, OR.",g,4,0.03,0.7,0.04,0.74,0.07,0.79,0.21,0.84
Dusicka and Roberts (2011),Concrete,PGA,Three,Continuous,unknown,Multiple columns,No,No,No,Nonseismically design,nonCalifornia,No,Unknown,No,No,"Ref: Dusicka, P., Roberts, J. (2011). Bridge Damage Models for Seismic Risk Assessment of Oregon Highway Network, OTREC-RR-11-08, Portland, OR. ",g,4,0.02,0.74,0.03,0.79,0.05,0.84,0.18,0.9
"Dusicka and Roberts (2011),C,3MSC_MC,NSD,POE 10 in 50,Steel Jacketing",Concrete,PGA,Three,Continuous,unknown,Multiple columns,No,No,No,Nonseismically design,nonCalifornia,Steel Column Jacketing,Unknown,No,No,"Ref: Dusicka, P., Roberts, J. (2011). Bridge Damage Models for Seismic Risk Assessment of Oregon Highway Network, OTREC-RR-11-08, Portland, OR. * Ground motions suite with 10% probability of exceedance in 50 years.",g,4,0.11,0.83,0.26,0.9,0.45,0.98,0.57,1.07
"Dusicka and Roberts (2011),C,5MSC_MC,NSD",Concrete,PGA,Five,Continuous,unknown,Multiple columns,No,No,No,Nonseismically design,nonCalifornia,No,Unknown,No,No,"Ref: Dusicka, P., Roberts, J. (2011). Bridge Damage Models for Seismic Risk Assessment of Oregon Highway Network, OTREC-RR-11-08, Portland, OR. ",g,4,0.08,0.7,0.1,0.74,0.16,0.79,0.51,0.84
"Ghosh (2013),C,3MSSS_MC,NSD,Time=0, Marine Splash Exposure",Concrete,PGA,Three,Simply Supported,unknown,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Ghosh, J. (2013). “Parameterized Seismic Fragility Assessment of life-cycle Analysis of Aging Highway Bridges.” PhD dissertation, Rice University, Houston, TX.",g,4,0.21,0.69,0.6,0.64,0.87,0.66,1.2,0.68
"Ghosh (2013),C,3MSSS_MC,NSD,Time=25, Marine Splash Exposure",Concrete,PGA,Three,Simply Supported,unknown,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,Yes,marine splash exposure condition,"Ref: Ghosh, J. (2013). “Parameterized Seismic Fragility Assessment of life-cycle Analysis of Aging Highway Bridges.” PhD dissertation, Rice University, Houston, TX.",g,4,0.23,0.68,0.6,0.63,0.89,0.66,1.24,0.68
"Ghosh (2013),C,3MSSS_MC,NSD,Time=50, Marine Splash Exposure",Concrete,PGA,Three,Simply Supported,unknown,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,Yes,marine splash exposure condition,"Ref: Ghosh, J. (2013). “Parameterized Seismic Fragility Assessment of life-cycle Analysis of Aging Highway Bridges.” PhD dissertation, Rice University, Houston, TX.",g,4,0.23,0.67,0.57,0.61,0.83,0.63,1.15,0.65
"Ghosh (2013),C,3MSSS_MC,NSD,Time=75, Marine Splash Exposure",Concrete,PGA,Three,Simply Supported,unknown,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,Yes,marine splash exposure condition,"Ref: Ghosh, J. (2013). “Parameterized Seismic Fragility Assessment of life-cycle Analysis of Aging Highway Bridges.” PhD dissertation, Rice University, Houston, TX.",g,4,0.23,0.66,0.56,0.62,0.8,0.63,1.09,0.65
"Ghosh (2013),C,3MSSS_MC,NSD,Time=0, marine atmospheric exposure",Concrete,PGA,Three,Simply Supported,unknown,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Ghosh, J. (2013). “Parameterized Seismic Fragility Assessment of life-cycle Analysis of Aging Highway Bridges.” PhD dissertation, Rice University, Houston, TX.",g,4,0.21,0.69,0.6,0.64,0.87,0.66,1.2,0.68
"Ghosh (2013),C,3MSSS_MC,NSD,Time=25, marine atmospheric exposure",Concrete,PGA,Three,Simply Supported,unknown,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,Yes,marine atmospheric exposure condition,"Ref: Ghosh, J. (2013). “Parameterized Seismic Fragility Assessment of life-cycle Analysis of Aging Highway Bridges.” PhD dissertation, Rice University, Houston, TX.",g,4,0.23,0.69,0.6,0.62,0.87,0.64,1.21,0.66
"Ghosh (2013),C,3MSSS_MC,NSD,Time=50, marine atmospheric exposure",Concrete,PGA,Three,Simply Supported,unknown,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,Yes,marine atmospheric exposure condition,"Ref: Ghosh, J. (2013). “Parameterized Seismic Fragility Assessment of life-cycle Analysis of Aging Highway Bridges.” PhD dissertation, Rice University, Houston, TX.",g,4,0.23,0.68,0.6,0.65,0.89,0.68,1.23,0.7
"Ghosh (2013),C,3MSSS_MC,NSD,Time=75, marine atmospheric exposure",Concrete,PGA,Three,Simply Supported,unknown,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,Yes,marine atmospheric exposure condition,"Ref: Ghosh, J. (2013). “Parameterized Seismic Fragility Assessment of life-cycle Analysis of Aging Highway Bridges.” PhD dissertation, Rice University, Houston, TX.",g,4,0.23,0.66,0.58,0.62,0.83,0.64,1.14,0.66
"Ghosh (2013),C,3MSSS_MC,NSD,Time=0, Deicing salt exposure",Concrete,PGA,Three,Simply Supported,unknown,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Ghosh, J. (2013). “Parameterized Seismic Fragility Assessment of life-cycle Analysis of Aging Highway Bridges.” PhD dissertation, Rice University, Houston, TX.",g,4,0.18,0.76,0.51,0.7,0.79,0.72,1.14,0.74
"Ghosh (2013),C,3MSSS_MC,NSD,Time=25, Deicing salt exposure",Concrete,PGA,Three,Simply Supported,unknown,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,Yes,Deicing salt exposure,"Ref: Ghosh, J. (2013). “Parameterized Seismic Fragility Assessment of life-cycle Analysis of Aging Highway Bridges.” PhD dissertation, Rice University, Houston, TX.",g,4,0.2,0.75,0.47,0.67,0.7,0.71,0.98,0.72
"Ghosh (2013),C,3MSSS_MC,NSD,Time=50, Deicing salt exposure",Concrete,PGA,Three,Simply Supported,unknown,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,Yes,Deicing salt exposure,"Ref: Ghosh, J. (2013). “Parameterized Seismic Fragility Assessment of life-cycle Analysis of Aging Highway Bridges.” PhD dissertation, Rice University, Houston, TX.",g,4,0.19,0.71,0.42,0.64,0.58,0.67,0.78,0.68
"Ghosh (2013),C,3MSSS_MC,NSD,Time=75, Deicing salt exposure",Concrete,PGA,Three,Simply Supported,unknown,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,Yes,Deicing salt exposure,"Ref: Ghosh, J. (2013). “Parameterized Seismic Fragility Assessment of life-cycle Analysis of Aging Highway Bridges.” PhD dissertation, Rice University, Houston, TX.",g,4,0.18,0.67,0.36,0.61,0.5,0.64,0.65,0.64
"Ghosh (2013),C,3MSSS_MC,NSD,Time=100, Deicing salt exposure",Concrete,PGA,Three,Simply Supported,unknown,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,Yes,Deicing salt exposure,"Ref: Ghosh, J. (2013). “Parameterized Seismic Fragility Assessment of life-cycle Analysis of Aging Highway Bridges.” PhD dissertation, Rice University, Houston, TX.",g,4,0.18,0.76,0.51,0.7,0.79,0.72,1.14,0.74
"Ghosh (2013),St,3MSC_MC,NSD,Time=0",Steel,PGA,Three,Continuous,unknown,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Ghosh, J. (2013). “Parameterized Seismic Fragility Assessment of life-cycle Analysis of Aging Highway Bridges.” PhD dissertation, Rice University, Houston, TX.",g,4,0.27,0.7,0.52,0.62,0.66,0.65,0.89,0.7
"Ghosh (2013),St,3MSC_MC,NSD,Time=25",Steel,PGA,Three,Continuous,unknown,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,Yes,No,"Ref: Ghosh, J. (2013). “Parameterized Seismic Fragility Assessment of life-cycle Analysis of Aging Highway Bridges.” PhD dissertation, Rice University, Houston, TX.",g,4,0.27,0.65,0.48,0.58,0.61,0.62,0.79,0.64
"Ghosh (2013),St,3MSC_MC,NSD,Time=50",Steel,PGA,Three,Continuous,unknown,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,Yes,No,"Ref: Ghosh, J. (2013). “Parameterized Seismic Fragility Assessment of life-cycle Analysis of Aging Highway Bridges.” PhD dissertation, Rice University, Houston, TX.",g,4,0.26,0.61,0.47,0.54,0.6,0.59,0.79,0.62
"Ghosh (2013),St,3MSC_MC,NSD,Time=75",Steel,PGA,Three,Continuous,unknown,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,Yes,No,"Ref: Ghosh, J. (2013). “Parameterized Seismic Fragility Assessment of life-cycle Analysis of Aging Highway Bridges.” PhD dissertation, Rice University, Houston, TX.",g,4,0.24,0.54,0.4,0.53,0.51,0.56,0.67,0.6
"Ghosh (2013),St,3MSC_MC,NSD,Time=100",Steel,PGA,Three,Continuous,unknown,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,Yes,No,"Ref: Ghosh, J. (2013). “Parameterized Seismic Fragility Assessment of life-cycle Analysis of Aging Highway Bridges.” PhD dissertation, Rice University, Houston, TX.",g,4,0.21,0.53,0.35,0.49,0.46,0.54,0.63,0.58
"Guo et al., (2016),BG,2MSSS_MC,SD,Soil=Type_D,Time=0",Box Girder,PGA,Two,Simply Supported,Type_D,Multiple columns,No,No,No,Unknown,nonCalifornia,No,Both,No,No,"Ref: Guo, X., Wu, Y., and Guo, Y. (2016). “Time-dependent seismic fragility analysis of bridge systems under scour hazard and earthquake loads.” Engineering Structures, 121, 52–60.",g,4,0.97,0.46,1.36,0.42,1.76,0.4,2.45,0.41
"Guo et al., (2016),BG,3MSSS_MC,SD,Soil=Type_D,Time=0",Box Girder,PGA,Three,Simply Supported,Type_D,Multiple columns,No,No,No,Unknown,nonCalifornia,No,Both,No,No,"Ref: Guo, X., Wu, Y., and Guo, Y. (2016). “Time-dependent seismic fragility analysis of bridge systems under scour hazard and earthquake loads.” Engineering Structures, 121, 52–60.",g,4,0.56,0.73,0.97,0.63,1.47,0.61,2.36,0.66
"Guo et al., (2016),BG,2MSSS_MC,SD,Soil=Type_D,Time=20",Box Girder,PGA,Two,Simply Supported,Type_D,Multiple columns,No,No,No,Unknown,nonCalifornia,No,Both,Yes,No,"Ref: Guo, X., Wu, Y., and Guo, Y. (2016). “Time-dependent seismic fragility analysis of bridge systems under scour hazard and earthquake loads.” Engineering Structures, 121, 52–60.",g,4,0.72,0.6,1.13,0.52,1.52,0.48,2.32,0.48
"Guo et al., (2016),BG,3MSSS_MC,SD,Soil=Type_D,Time=20",Box Girder,PGA,Three,Simply Supported,Type_D,Multiple columns,No,No,No,Unknown,nonCalifornia,No,Both,Yes,No,"Ref: Guo, X., Wu, Y., and Guo, Y. (2016). “Time-dependent seismic fragility analysis of bridge systems under scour hazard and earthquake loads.” Engineering Structures, 121, 52–60.",g,4,0.45,0.81,0.86,0.72,1.3,0.66,2.22,0.75
"Guo et al., (2016),BG,2MSSS_MC,SD,Soil=Type_D,Time=40",Box Girder,PGA,Two,Simply Supported,Type_D,Multiple columns,No,No,No,Unknown,nonCalifornia,No,Both,Yes,No,"Ref: Guo, X., Wu, Y., and Guo, Y. (2016). “Time-dependent seismic fragility analysis of bridge systems under scour hazard and earthquake loads.” Engineering Structures, 121, 52–60.",g,4,0.56,0.69,0.94,0.62,1.39,0.56,2.3,0.57
"Guo et al., (2016),BG,3MSSS_MC,SD,Soil=Type_D,Time=40",Box Girder,PGA,Three,Simply Supported,Type_D,Multiple columns,No,No,No,Unknown,nonCalifornia,No,Both,Yes,No,"Ref: Guo, X., Wu, Y., and Guo, Y. (2016). “Time-dependent seismic fragility analysis of bridge systems under scour hazard and earthquake loads.” Engineering Structures, 121, 52–60.",g,4,0.42,0.84,0.75,0.77,1.18,0.78,2.2,0.86
"Guo et al., (2016),BG,2MSSS_MC,SD,Soil=Type_D,Time=60",Box Girder,PGA,Two,Simply Supported,Type_D,Multiple columns,No,No,No,Unknown,nonCalifornia,No,Both,Yes,No,"Ref: Guo, X., Wu, Y., and Guo, Y. (2016). “Time-dependent seismic fragility analysis of bridge systems under scour hazard and earthquake loads.” Engineering Structures, 121, 52–60.",g,4,0.44,0.8,0.82,0.7,1.3,0.64,2.11,0.64
